ID_trapped,date,testday,context,sample,time,cort_trapped,ID_potentialhelper,status,time_matched,cort_potential_helper,uniq.group
9,2020-09-09,Hilfe 3,Trapped,post,9H 58M 0S,5.47,2,Helper,9H 56M 0S,4.96,DG-2_F
4,2020-09-07,Hilfe 1,Trapped,post,16H 0M 0S,8.229,9,Helper,16H 0M 0S,5.077,DG-2_W
8,2020-09-09,Hilfe 3,Trapped,post,14H 34M 0S,6.729,9,Helper,14H 31M 0S,3.256,DG-2_W
1,2020-10-23,Hilfe 5,Trapped,post,9H 55M 0S,4.856,3,Helper,9H 55M 0S,3.257,DG-3_F
3,2020-10-23,Hilfe 5,Trapped,post,10H 36M 0S,5.533,1,Helper,10H 36M 0S,3.956,DG-3_F
4,2020-10-22,Hilfe 4,Trapped,post,15H 15M 0S,2.514,7,Helper,15H 15M 0S,1.218,DG-3_F
5,2020-10-20,Hilfe 2,Trapped,post,14H 26M 0S,6.33,3,Helper,14H 26M 0S,1.862,DG-3_F
7,2020-10-21,Hilfe 3,Trapped,post,11H 8M 0S,4.621,3,Helper,11H 8M 0S,2.258,DG-3_F
8,2020-10-22,Hilfe 4,Trapped,post,14H 30M 0S,8.569,6,Helper,14H 30M 0S,3.041,DG-3_F
9,2020-10-19,Hilfe 1,Trapped,post,10H 35M 0S,9.037,2,Helper,10H 34M 0S,5.983,DG-3_F
4,2020-10-20,Hilfe 2,Trapped,post,9H 55M 0S,11.501,6,Helper,9H 55M 0S,2.993,DG-3_W
5,2020-10-21,Hilfe 3,Trapped,post,15H 35M 0S,7.53,10,Helper,15H 35M 0S,1.359,DG-3_W
6,2020-10-23,Hilfe 5,Trapped,post,13H 38M 0S,3.648,4,Helper,13H 38M 0S,1.801,DG-3_W
7,2020-10-19,Hilfe 1,Trapped,post,14H 45M 0S,7.725,4,Helper,14H 45M 0S,2.629,DG-3_W
8,2020-10-22,Hilfe 4,Trapped,post,10H 38M 0S,3.645,7,Helper,10H 38M 0S,2.24,DG-3_W
10,2020-10-22,Hilfe 4,Trapped,post,9H 55M 0S,7.079,5,Helper,9H 55M 0S,3.788,DG-3_W
1,2020-12-03,Hilfe 4,Trapped,post,10H 50M 0S,5.316,2,Helper,10H 50M 0S,5.367,DG-4_F
2,2020-12-04,Hilfe 5,Trapped,post,14H 15M 0S,7.031,7,Helper,14H 15M 0S,3.664,DG-4_F
3,2020-11-30,Hilfe 1,Trapped,post,13H 1M 0S,4.979,5,Helper,13H 3M 0S,3.563,DG-4_F
4,2020-12-01,Hilfe 2,Trapped,post,9H 24M 0S,6.461,5,Helper,9H 24M 0S,6.109,DG-4_F
5,2020-12-03,Hilfe 4,Trapped,post,10H 0M 0S,10.612,7,Helper,10H 0M 0S,2.479,DG-4_F
6,2020-12-01,Hilfe 2,Trapped,post,10H 35M 0S,8.289,5,Helper,10H 35M 0S,3.616,DG-4_F
7,2020-12-02,Hilfe 3,Trapped,post,14H 5M 0S,5.892,1,Helper,14H 5M 0S,2.654,DG-4_F
10,2020-12-04,Hilfe 5,Trapped,post,13H 23M 0S,9.883,5,Helper,13H 23M 0S,3.294,DG-4_F
1,2020-12-02,Hilfe 3,Trapped,post,11H 25M 0S,7.203,9,Helper,11H 25M 0S,5.153,DG-4_W
3,2020-12-04,Hilfe 5,Trapped,post,10H 10M 0S,5.348,5,Helper,10H 10M 0S,4.164,DG-4_W
4,2020-12-02,Hilfe 3,Trapped,post,10H 30M 0S,4.575,5,Helper,10H 30M 0S,4.327,DG-4_W
5,2020-12-01,Hilfe 2,Trapped,post,13H 13M 0S,7.55,9,Helper,13H 13M 0S,4.491,DG-4_W
6,2020-11-30,Hilfe 1,Trapped,post,10H 56M 0S,6.973,4,Helper,10H 55M 0S,4.483,DG-4_W
7,2020-12-03,Hilfe 4,Trapped,post,13H 5M 0S,5.898,5,Helper,13H 5M 0S,2.406,DG-4_W
8,2020-12-04,Hilfe 5,Trapped,post,11H 30M 0S,4.571,2,Helper,11H 30M 0S,6.438,DG-4_W
9,2020-12-01,Hilfe 2,Trapped,post,14H 35M 0S,7.38,1,Helper,14H 35M 0S,4.378,DG-4_W
10,2020-11-30,Hilfe 1,Trapped,post,10H 7M 0S,13.132,4,Helper,10H 9M 0S,3.404,DG-4_W
2,2021-02-03,Hilfe 3,Trapped,post,11H 40M 0S,3.139,10,Helper,11H 40M 0S,2.142,DG-5_F
3,2021-02-02,Hilfe 2,Trapped,post,12H 18M 0S,5.711,1,Helper,12H 18M 0S,5.356,DG-5_F
4,2021-02-02,Hilfe 2,Trapped,post,13H 5M 0S,4.471,9,Helper,13H 5M 0S,2.569,DG-5_F
5,2021-02-04,Hilfe 4,Trapped,post,12H 30M 0S,9.321,1,Helper,12H 30M 0S,2.87,DG-5_F
7,2021-02-05,Hilfe 5,Trapped,post,9H 55M 0S,12.312,1,Helper,9H 55M 0S,2.952,DG-5_F
9,2021-02-04,Hilfe 4,Trapped,post,11H 45M 0S,9.449,1,Helper,11H 45M 0S,3.643,DG-5_F
10,2021-02-01,Hilfe 1,Trapped,post,11H 10M 0S,6.104,9,Helper,11H 10M 0S,4.307,DG-5_F
1,2021-02-05,Hilfe 5,Trapped,post,12H 45M 0S,8.612,7,Helper,12H 45M 0S,7.477,DG-5_W
2,2021-02-03,Hilfe 3,Trapped,post,15H 16M 0S,8.372,6,Helper,15H 16M 0S,5.135,DG-5_W
3,2021-02-01,Hilfe 1,Trapped,post,13H 25M 0S,9.494,10,Helper,13H 25M 0S,9.471,DG-5_W
4,2021-02-02,Hilfe 2,Trapped,post,10H 33M 0S,9.094,9,Helper,10H 33M 0S,1.037,DG-5_W
5,2021-02-05,Hilfe 5,Trapped,post,13H 45M 0S,6.176,6,Helper,13H 45M 0S,10.439,DG-5_W
6,2021-02-02,Hilfe 2,Trapped,post,9H 48M 0S,8.118,9,Helper,9H 48M 0S,1.799,DG-5_W
7,2021-02-03,Hilfe 3,Trapped,post,13H 26M 0S,9.917,9,Helper,13H 26M 0S,4.464,DG-5_W
8,2021-02-01,Hilfe 1,Trapped,post,14H 17M 0S,11.358,4,Helper,14H 16M 0S,3.025,DG-5_W
9,2021-02-04,Hilfe 4,Trapped,post,10H 20M 0S,8.508,7,Helper,10H 20M 0S,1.98,DG-5_W
10,2021-02-04,Hilfe 4,Trapped,post,9H 35M 0S,9.385,3,Helper,9H 35M 0S,4.81,DG-5_W
