trapped.pig.uniq.id,sow,sex,group.trapped.pig.order,location.test.box,interval_count,interval.dur,number.of.intervals,min.status,screams,screams.prop,escapes,invest.door,invest.door.prop,invest.window,invest.window.prop,outcome1,outcome2,outcome3,lat.helped.min,trapped.date,uniq.group,time.trial.begins,change.cort,time.post.sample,interval_time,ordinal.group.order,distress,distress.rate.per.min,window.rate.per.min
DG2_W_2,6142,Female,5,Front,1,10.32,1,free,0,0,0,2,0.19379845,2,0.19379845,Helped,Trapped_under_3_mns,Full_trial,0.210166667,2020-09-09,DG2_W,13,5.063,13.36666667,19.040-29.360,5,0,0,11.627906976744185
DG2_W_3,6142,Female,7,Side,1,19.8,1,free,0,0,0,1,0.050505051,4,0.202020202,Helped,Trapped_under_3_mns,Full_trial,0.31,2020-09-10,DG2_W,9.9,NA,NA,51.840-71.640,7,0,0,12.121212121212121
DG2_W_4,5931,Male,2,Front,1,57.12,1,free,0,0,2,7,0.12254902,7,0.12254902,Helped,Trapped_under_3_mns,Full_trial,0.9475,2020-09-07,DG2_W,15.53333333,3.89,16,29.800-86.920,2,2,2.100840336134454,7.352941176470589
DG2_W_8,5764,Female,6,Side,1,29.24,1,free,0,0,0,3,0.102599179,3,0.102599179,Helped,Trapped_under_3_mns,Full_trial,0.484166667,2020-09-09,DG2_W,14.2,3.328,14.56666667,50.600-79.840,6,0,0,6.155950752393982
DG2_W_9,5764,Female,3,Side,1,15.8,1,free,0,0,0,3,0.189873418,5,0.316455696,Helped,Trapped_under_3_mns,Full_trial,0.2875,2020-09-08,DG2_W,9.35,NA,NA,33.640-49.440,3,0,0,18.987341772151897
DG3_F_1,6271,Male,9,Front,1,29.52,1,free,1,0.033875339,1,0,0,3,0.101626016,Helped,Trapped_under_3_mns,Full_trial,0.488833333,2020-10-23,DG3_F,9.633333333,0.968,9.916666667,44.720-74.240,9,2,4.065040650406504,6.097560975609756
DG3_F_4,6271,Female,8,Front,1,58.72,1,free,0,0,2,4,0.068119891,5,0.085149864,Helped,Trapped_under_3_mns,Full_trial,0.986166667,2020-10-22,DG3_F,14.98333333,-0.464,15.25,48.520-107.240,8,2,2.0435967302452314,5.108991825613079
DG3_W_3,6079,Female,9,Side,1,34.36,1,free,0,0,0,1,0.029103609,3,0.087310827,Helped,Trapped_under_3_mns,Full_trial,0.566833333,2020-10-23,DG3_W,12.7,5.474,12.96666667,19.160-53.520,9,0,0,5.238649592549476
DG3_W_5,6079,Female,6,Side,1,55.8,1,free,0,0,1,6,0.107526882,5,0.089605735,Helped,Trapped_under_3_mns,Full_trial,0.940833333,2020-10-21,DG3_W,15.28333333,2.564,15.58333333,51.240-107.040,6,1,1.0752688172043012,5.376344086021506
DG4_W_7,6310,Male,7,Front,1,49.8,1,free,0,0,0,1,0.020080321,4,0.080321285,Helped,Trapped_under_3_mns,Full_trial,0.850666667,2020-12-03,DG4_W,12.75,1.167,13.08333333,29.760-79.560,7,0,0,4.819277108433735
DG5_F_7,6407,Male,9,Front,1,36.2,1,free,1,0.027624309,3,6,0.165745856,6,0.165745856,Helped,Trapped_under_3_mns,Full_trial,0.634,2021-02-05,DG5_F,9.616666667,5.216,9.916666667,29.800-66.000,9,4,6.6298342541436455,9.944751381215468
DG5_W_1,6420,Male,9,Front,1,18.64,1,free,0,0,0,2,0.107296137,4,0.214592275,Helped,Trapped_under_3_mns,Full_trial,0.361333333,2021-02-05,DG5_W,12.45,6.197,12.75,23.200-41.840,9,0,0,12.875536480686694
DG5_W_10,6235,Female,7,Side,1,7.48,1,free,0,0,0,0,0,0,0,Helped,Trapped_under_3_mns,Full_trial,0.16,2022-02-04,DG5_W,9.3,3.557,9.583333333,12.960-20.440,7,0,0,0
DG5_W_6,6235,Male,3,Side,1,40.64,1,free,0,0,0,1,0.024606299,7,0.172244094,Helped,Trapped_under_3_mns,Full_trial,0.722666667,2021-02-02,DG5_W,9.516666667,2.767,9.8,67.920-108.560,3,0,0,10.334645669291339
DG5_W_8,6235,Male,2,Side,1,13.36,1,free,0,0,0,1,0.074850299,2,0.149700599,Helped,Trapped_under_3_mns,Full_trial,0.280666667,2021-02-01,DG5_W,14.01666667,5.215,14.28333333,30.840-44.200,2,0,0,8.982035928143713
DG2_F_5,6235,Male,7,Side,1,60,2,trapped,0,0,1,1,0.016666667,5,0.083333333,Helped,Trapped_under_3_mns,Full_trial,1.216166667,2020-09-10,DG2_F,11.66666667,2.832,12.06666667,38.280-98.280,7,1,1,5
DG2_F_5,6235,Male,7,Side,2,12.56,2,free,2,0.159235669,0,0,0,0,0,Helped,Trapped_under_3_mns,Full_trial,1.216166667,2020-09-10,DG2_F,11.66666667,2.832,12.06666667,98.280-110.840,7,2,9.554140127388534,0
DG2_F_8,5952,Male,8,Front,1,60,2,trapped,0,0,0,7,0.116666667,8,0.133333333,Helped,Trapped_under_3_mns,Full_trial,1.598833333,2020-09-10,DG2_F,12.8,-0.401,13.13333333,67.520-127.520,8,0,0,8
DG2_F_8,5952,Male,8,Front,2,35.88,2,free,0,0,1,2,0.05574136,2,0.05574136,Helped,Trapped_under_3_mns,Full_trial,1.598833333,2020-09-10,DG2_F,12.8,-0.401,13.13333333,127.520-163.400,8,1,1.672240802675585,3.34448160535117
DG2_W_5,5931,Male,4,Front,1,60,2,trapped,0,0,1,3,0.05,7,0.116666667,Helped,Trapped_under_3_mns,Full_trial,1.356833333,2020-09-08,DG2_W,10.51666667,0.589,10.93333333,35.680-95.680,4,1,1,7
DG2_W_5,5931,Male,4,Front,2,20.4,2,free,0,0,0,0,0,0,0,Helped,Trapped_under_3_mns,Full_trial,1.356833333,2020-09-08,DG2_W,10.51666667,0.589,10.93333333,95.680-116.080,4,0,0,0
DG3_F_3,6271,Female,10,Side,1,60,2,trapped,0,0,1,1,0.016666667,8,0.133333333,Helped,Trapped_under_3_mns,Full_trial,1.586833333,2020-10-23,DG3_F,10.31666667,2.036,10.6,42.000-102.000,10,1,1,8
DG3_F_3,6271,Female,10,Side,2,35.12,2,free,0,0,0,0,0,1,0.028473804,Helped,Trapped_under_3_mns,Full_trial,1.586833333,2020-10-23,DG3_F,10.31666667,2.036,10.6,102.000-137.120,10,0,0,1.7084282460136677
DG3_F_7,6369,Male,5,Front,1,60,2,trapped,0,0,1,3,0.05,4,0.066666667,Helped,Trapped_under_3_mns,Full_trial,1.378166667,2020-10-21,DG3_F,10.83333333,3.156,11.13333333,35.720-95.720,5,1,1,4
DG3_F_7,6369,Male,5,Front,2,22.28,2,free,0,0,0,0,0,1,0.044883303,Helped,Trapped_under_3_mns,Full_trial,1.378166667,2020-10-21,DG3_F,10.83333333,3.156,11.13333333,95.720-118.000,5,0,0,2.6929982046678633
DG3_W_10,6073,Female,7,Side,1,60,2,trapped,0,0,0,3,0.05,3,0.05,Helped,Trapped_under_3_mns,Full_trial,1.878833333,2020-10-22,DG3_W,9.633333333,1.541,9.916666667,44.920-104.920,7,0,0,3
DG3_W_10,6073,Female,7,Side,2,52.08,2,free,4,0.076804916,0,1,0.019201229,5,0.096006144,Helped,Trapped_under_3_mns,Full_trial,1.878833333,2020-10-22,DG3_W,9.633333333,1.541,9.916666667,104.920-157.000,7,4,4.6082949308755765,5.76036866359447
DG3_W_9,6073,Female,5,Front,1,60,2,trapped,3,0.05,1,5,0.083333333,8,0.133333333,Helped,Trapped_under_3_mns,Full_trial,1.526166667,2020-10-21,DG3_W,14.61666667,1.266,14.91666667,35.920-95.920,5,4,4,8
DG3_W_9,6073,Female,5,Front,2,30.36,2,free,2,0.065876153,0,1,0.032938076,0,0,Helped,Trapped_under_3_mns,Full_trial,1.526166667,2020-10-21,DG3_W,14.61666667,1.266,14.91666667,95.920-126.280,5,2,3.952569169960474,0
DG4_F_3,6099,Male,1,Side,1,60,2,trapped,0,0,2,9,0.15,11,0.183333333,Helped,Trapped_under_3_mns,Full_trial,1.852,2020-11-30,DG4_F,12.6,1.351,13.01666667,17.520-77.520,1,2,2,11
DG4_F_3,6099,Male,1,Side,2,46.32,2,free,0,0,0,1,0.021588946,4,0.086355786,Helped,Trapped_under_3_mns,Full_trial,1.852,2020-11-30,DG4_F,12.6,1.351,13.01666667,77.520-123.840,1,0,0,5.181347150259067
DG4_F_7,6188,Male,5,Side,1,60,2,trapped,0,0,0,2,0.033333333,6,0.1,Helped,Trapped_under_3_mns,Full_trial,1.641333333,2020-12-02,DG4_F,13.71666667,1.684,14.08333333,33.480-93.480,5,0,0,6
DG4_F_7,6188,Male,5,Side,2,34.52,2,free,0,0,1,1,0.028968714,2,0.057937428,Helped,Trapped_under_3_mns,Full_trial,1.641333333,2020-12-02,DG4_F,13.71666667,1.684,14.08333333,93.480-128.000,5,1,1.7381228273464657,3.4762456546929315
DG4_W_9,6310,Female,4,Side,1,60,2,trapped,0,0,0,1,0.016666667,6,0.1,Helped,Trapped_under_3_mns,Full_trial,1.982666667,2020-12-01,DG4_W,14.23333333,4.653,14.58333333,30.200-90.200,4,0,0,6
DG4_W_9,6310,Female,4,Side,2,56.6,2,free,0,0,0,1,0.017667845,2,0.035335689000000003,Helped,Trapped_under_3_mns,Full_trial,1.982666667,2020-12-01,DG4_W,14.23333333,4.653,14.58333333,90.200-146.800,4,0,0,2.1201413427561837
DG5_F_3,6421,Female,3,Front,1,60,2,trapped,0,0,3,1,0.016666667,6,0.1,Helped,Trapped_under_3_mns,Full_trial,1.737333333,2021-02-02,DG5_F,11.96666667,3.63,12.3,2.760-62.760,3,3,3,6
DG5_F_3,6421,Female,3,Front,2,22.84,2,free,0,0,1,1,0.043782837,1,0.043782837,Helped,Trapped_under_3_mns,Full_trial,1.737333333,2021-02-02,DG5_F,11.96666667,3.63,12.3,62.760-85.600,3,1,2.626970227670753,2.626970227670753
