trapped.pig.unique.id,group.id,location.opened.box,condition,lat.first.open.min,identity.box.first.opened,opener.unique.id,date,daily.test.order.bothgroups,daily.test.order.within.group,group.test.order,test.day,id.first.open.test.box.cond3
DG2_F_9,DG2_F,ZG,Separation,3.04,Emptybox,DG2_F_2,09.09.20,3.1,1,5,3,DG2_F_2
DG2_F_5,DG2_F,FG,Separation,4.34,Emptybox,DG2_F_4,10.09.20,4.2,2,7,4,DG2_F_2
DG2_W_4,DG2_W,ZG,Separation,0.81,Emptybox,DG2_W_1,07.09.20,1.4,2,2,1,DG2_W_9
DG2_W_2,DG2_W,ZG,Separation,0.46,Emptybox,DG2_W_4,09.09.20,3.3,1,5,3,DG2_W_9
DG2_W_3,DG2_W,FG,Separation,2.9,Emptybox,DG2_W_8,10.09.20,4.1,1,7,4,DG2_W_9
DG3_F_4,DG3_F,ZG,Separation,4.15,Emptybox,DG3_F_10,22.10.20,4.4,2,8,4,DG3_F_7
DG3_F_8,DG3_F,FG,Separation,1.49,Emptybox,DG3_F_10,22.10.20,4.3,1,7,4,DG3_F_6
DG3_F_6,DG3_F,FG,Separation,0.66,Emptybox,DG3_F_9,20.10.20,2.3,1,3,2,human
DG3_W_9,DG3_W,ZG,Separation,0.29,Emptybox,DG3_W_10,21.10.20,3.3,1,5,3,DG3_W_4
DG3_W_1,DG3_W,ZG,Separation,1.89,Emptybox,DG3_W_4,20.10.20,2.2,2,4,2,human
DG3_W_8,DG3_W,ZG,Separation,0.33,Emptybox,DG3_W_4,22.10.20,4.2,2,8,4,DG3_W_7
DG4_F_3,DG4_F,FG,Separation,1.75,Emptybox,DG4_F_2,30.11.20,1.3,1,1,1,DG4_F_5
DG4_F_10,DG4_F,FG,Separation,0.4,Emptybox,DG4_F_4,04.12.20,5.3,1,9,5,DG4_F_5
DG4_F_6,DG4_F,FG,Separation,1.23,Emptybox,DG4_F_7,01.12.20,2.2,2,4,2,DG4_F_5
DG4_W_10,DG4_W,FG,Separation,3.07,Emptybox,DG4_W_4,30.11.20,1.1,1,1,1,DG4_W_4
