trapped.pig.unique.id,id.group,sex,location,helper,condition,compartment,opened.comp,date,daily.test.order.within.group,group.test.order,test.day
DG2_F_2,DG2_F,f,Side,Pig,test,emptybox,1,08.09.20,1,3,2
DG2_F_2,DG2_F,f,Front,Pig,test,testbox,1,08.09.20,1,3,2
DG2_F_2,DG2_F,f,Side,Pig,separation,emptybox,0,08.09.20,1,3,2
DG2_F_2,DG2_F,f,Front,Pig,separation,testbox,0,08.09.20,1,3,2
DG2_F_3,DG2_F,f,Side,Human,test,testbox,0,07.09.20,1,1,1
DG2_F_3,DG2_F,f,Front,Human,test,emptybox,0,07.09.20,1,1,1
DG2_F_3,DG2_F,f,Front,Human,separation,emptybox,0,07.09.20,1,1,1
DG2_F_3,DG2_F,f,Side,Human,separation,testbox,0,07.09.20,1,1,1
DG2_F_4,DG2_F,m,Side,Pig,test,testbox,1,09.09.20,2,6,3
DG2_F_4,DG2_F,m,Front,Pig,test,emptybox,1,09.09.20,2,6,3
DG2_F_4,DG2_F,m,Side,Pig,separation,testbox,0,09.09.20,2,6,3
DG2_F_4,DG2_F,m,Front,Pig,separation,emptybox,0,09.09.20,2,6,3
DG2_F_5,DG2_F,m,Side,Pig,test,testbox,1,10.09.20,2,7,4
DG2_F_5,DG2_F,m,Front,Pig,test,emptybox,0,10.09.20,2,7,4
DG2_F_5,DG2_F,m,Side,Pig,separation,testbox,0,10.09.20,2,7,4
DG2_F_5,DG2_F,m,Front,Pig,separation,emptybox,1,10.09.20,2,7,4
DG2_F_6,DG2_F,f,Side,Human,test,emptybox,0,07.09.20,2,2,1
DG2_F_6,DG2_F,f,Front,Human,separation,testbox,0,07.09.20,2,2,1
DG2_F_6,DG2_F,f,Front,Human,test,testbox,0,07.09.20,2,2,1
DG2_F_6,DG2_F,f,Side,Human,separation,emptybox,0,07.09.20,2,2,1
DG2_F_7,DG2_F,m,Side,Human,test,testbox,0,08.09.20,2,4,2
DG2_F_7,DG2_F,m,Front,Human,test,emptybox,1,08.09.20,2,4,2
DG2_F_7,DG2_F,m,Side,Human,separation,testbox,0,08.09.20,2,4,2
DG2_F_7,DG2_F,m,Front,Human,separation,emptybox,0,08.09.20,2,4,2
DG2_F_8,DG2_F,m,Front,Pig,separation,testbox,0,10.09.20,1,8,4
DG2_F_8,DG2_F,m,Front,Pig,test,testbox,1,10.09.20,1,8,4
DG2_F_8,DG2_F,m,Side,Pig,separation,emptybox,0,10.09.20,1,8,4
DG2_F_8,DG2_F,m,Side,Pig,test,emptybox,1,10.09.20,1,8,4
DG2_F_9,DG2_F,f,Side,Pig,test,emptybox,0,09.09.20,1,5,3
DG2_F_9,DG2_F,f,Front,Pig,test,testbox,1,09.09.20,1,5,3
DG2_F_9,DG2_F,f,Side,Pig,separation,emptybox,1,09.09.20,1,5,3
DG2_F_9,DG2_F,f,Front,Pig,separation,testbox,0,09.09.20,1,5,3
DG2_W_1,DG2_W,m,Side,Pig,test,testbox,1,07.09.20,1,1,1
DG2_W_1,DG2_W,m,Front,Pig,test,emptybox,1,07.09.20,1,1,1
DG2_W_1,DG2_W,m,Side,Pig,separation,testbox,1,07.09.20,1,1,1
DG2_W_1,DG2_W,m,Front,Pig,separation,emptybox,1,07.09.20,1,1,1
DG2_W_2,DG2_W,f,Front,Pig,test,testbox,1,09.09.20,1,5,3
DG2_W_2,DG2_W,f,Side,Pig,separation,emptybox,1,09.09.20,1,5,3
DG2_W_2,DG2_W,f,Front,Pig,separation,testbox,1,09.09.20,1,5,3
DG2_W_2,DG2_W,f,Side,Pig,test,emptybox,1,09.09.20,1,5,3
DG2_W_3,DG2_W,f,Side,Pig,test,testbox,1,10.09.20,1,7,4
DG2_W_3,DG2_W,f,Front,Pig,test,emptybox,0,10.09.20,1,7,4
DG2_W_3,DG2_W,f,Side,Pig,separation,testbox,0,10.09.20,1,7,4
DG2_W_3,DG2_W,f,Front,Pig,separation,emptybox,1,10.09.20,1,7,4
DG2_W_4,DG2_W,m,Front,Pig,test,testbox,1,07.09.20,2,2,1
DG2_W_4,DG2_W,m,Side,Pig,test,emptybox,1,07.09.20,2,2,1
DG2_W_4,DG2_W,m,Front,Pig,separation,testbox,0,07.09.20,2,2,1
DG2_W_4,DG2_W,m,Side,Pig,separation,emptybox,1,07.09.20,2,2,1
DG2_W_5,DG2_W,m,Front,Pig,test,testbox,1,08.09.20,2,4,2
DG2_W_5,DG2_W,m,Front,Pig,separation,testbox,1,08.09.20,2,4,2
DG2_W_5,DG2_W,m,Side,Pig,test,emptybox,1,08.09.20,2,4,2
DG2_W_5,DG2_W,m,Side,Pig,separation,emptybox,0,08.09.20,2,4,2
DG2_W_8,DG2_W,f,Front,Pig,test,emptybox,1,09.09.20,2,6,3
DG2_W_8,DG2_W,f,Side,Pig,separation,testbox,0,09.09.20,2,6,3
DG2_W_8,DG2_W,f,Side,Pig,test,testbox,1,09.09.20,2,6,3
DG2_W_8,DG2_W,f,Front,Pig,separation,emptybox,0,09.09.20,2,6,3
DG2_W_9,DG2_W,f,Front,Pig,test,emptybox,1,08.09.20,1,3,2
DG2_W_9,DG2_W,f,Side,Pig,separation,testbox,0,08.09.20,1,3,2
DG2_W_9,DG2_W,f,Side,Pig,test,testbox,1,08.09.20,1,3,2
DG2_W_9,DG2_W,f,Front,Pig,separation,emptybox,0,08.09.20,1,3,2
DG3_F_1,DG3_F,m,Front,Pig,test,testbox,1,23.10.20,1,9,5
DG3_F_1,DG3_F,m,Side,Pig,test,emptybox,0,23.10.20,1,9,5
DG3_F_1,DG3_F,m,Front,Pig,separation,testbox,1,23.10.20,1,9,5
DG3_F_1,DG3_F,m,Side,Pig,separation,emptybox,0,23.10.20,1,9,5
DG3_F_10,DG3_F,f,Side,Human,separation,testbox,0,19.10.20,2,2,1
DG3_F_10,DG3_F,f,Side,Human,test,testbox,0,19.10.20,2,2,1
DG3_F_10,DG3_F,f,Front,Human,separation,emptybox,0,19.10.20,2,2,1
DG3_F_10,DG3_F,f,Front,Human,test,emptybox,0,19.10.20,2,2,1
DG3_F_2,DG3_F,m,Front,Human,test,emptybox,0,21.10.20,2,6,3
DG3_F_2,DG3_F,m,Side,Human,separation,testbox,0,21.10.20,2,6,3
DG3_F_2,DG3_F,m,Front,Human,separation,emptybox,0,21.10.20,2,6,3
DG3_F_2,DG3_F,m,Side,Human,test,testbox,0,21.10.20,2,6,3
