type,unique.group,condition,familiarization_day,behavior,lat.first.open.sec,lat.first.open.min,proportion
group,DG-2F,Familiarization,1,first_open,21.01,0.350166667,0.75
group,DG-2W,Familiarization,1,first_open,83.517,1.39195,1
group,DG-3F,Familiarization,1,first_open,62.92,1.048666667,0.9
group,DG-3W,Familiarization,1,first_open,45.44,0.757333333,1
group,DG-4F,Familiarization,1,first_open,28.56,0.476,1
group,DG-4W,Familiarization,1,first_open,28.88,0.481333333,1
group,DG-5F,Familiarization,1,first_open,24.74,0.412333333,0.9
group,DG-5W,Familiarization,1,first_open,38,0.63,0.9
group,DG-2F,Familiarization,2,first_open,54.6,0.91,0.375
group,DG-2W,Familiarization,2,first_open,0.56,0.009333333,1
group,DG-3F,Familiarization,2,first_open,44.28,0.738,0.6
group,DG-3W,Familiarization,2,first_open,39.08,0.651333333,0.9
group,DG-4F,Familiarization,2,first_open,13.76,0.229333333,1
group,DG-4W,Familiarization,2,first_open,2.32,0.038666667,0.9
group,DG-5F,Familiarization,2,first_open,39.404,0.656733333,0.9
group,DG-5W,Familiarization,2,first_open,31.64,0.527333333,0.9
group,DG-2F,Familiarization,3,first_open,14,0.233333333,0.75
group,DG-2W,Familiarization,3,first_open,3.04,0.050666667,0.833333333
group,DG-3F,Familiarization,3,first_open,28.76,0.479333333,0.6
group,DG-3W,Familiarization,3,first_open,0.8,0.013333333,0.9
group,DG-4F,Familiarization,3,first_open,2.12,0.035333333,1
group,DG-4W,Familiarization,3,first_open,2,0.033333333,0.7
group,DG-5F,Familiarization,3,first_open,16.46,0.274333333,0.9
group,DG-5W,Familiarization,3,first_open,1.46,0.024333333,0.8
group,DG-2F,Familiarization,4,first_open,17,0.283,0.5
group,DG-2W,Familiarization,4,first_open,0.92,0.015333333,1
group,DG-3F,Familiarization,4,first_open,17.04,0.284,0.6
group,DG-3W,Familiarization,4,first_open,0.9,0.015,0.8
group,DG-4F,Familiarization,4,first_open,19.25,0.320833333,0.9
group,DG-4W,Familiarization,4,first_open,6.42,0.107,0.9
group,DG-5F,Familiarization,4,first_open,2.71,0.045166667,0.8
group,DG-5W,Familiarization,4,first_open,29.4,0.49,0.8
group,DG-2F,Familiarization,5,first_open,70.24,1.17,0.5
group,DG-2W,Familiarization,5,first_open,44.64,0.744,0.833333333
group,DG-3F,Familiarization,5,first_open,1.88,0.031333333,0.8
group,DG-3W,Familiarization,5,first_open,4.72,0.078666667,1
group,DG-4F,Familiarization,5,first_open,48.42,0.807,0.7
group,DG-4W,Familiarization,5,first_open,28.04,0.467333333,0.8
group,DG-5F,Familiarization,5,first_open,1.14,0.019,0.7
group,DG-5W,Familiarization,5,first_open,17.972,0.299533333,0.8
cumulative,,Familiarization,1,first_open,,,0.933333333
cumulative,,Familiarization,2,first_open,,,0.96
cumulative,,Familiarization,3,first_open,,,0.973333333
cumulative,,Familiarization,4,first_open,,,0.973333333
cumulative,,Familiarization,5,first_open,,,0.986666667
