trapped.pig.uniq.id,uniq.group,trial,group.trapped.pig.order,pot.helper.uniq.id,pot.helper.response,related,pot.helper.helped.by.trapped.before,trapped.before,trapped.pig.helped.others.before,pothelper.sex,test.dur.look.s.per.min,pretrial.rate.curio.min,pretrial.open.yn,train.rate.curio.min,train.rate.open,lat.helped.min,test.dur.look.window,test.count.look.window,test.curios.score,pretrial.curio.yn,trapped.pig.sow,trapped.pig.sex,test.count.look.per.testmin,test.rate.curio.min,pretrial.rate.open.min,pothelper.mom
DG2_F_3,DG2_F,DG2_F3_070920,1,DG2_F_2,0,Yes,No,No,n,Female,2.784,0,No,0.416666667,0.183333334,20,55.68,9,3,0,6232,w,0.45,0.15,0,6232
DG2_F_3,DG2_F,DG2_F3_070920,1,DG2_F_4,0,No,No,No,n,Male,0,0,No,0.675,0.041666667,NA,NA,NA,NA,0,6232,w,0,0,0,6235
DG2_F_3,DG2_F,DG2_F3_070920,1,DG2_F_5,0,No,No,No,n,Male,0,0,No,0.433333334,0.016666667,NA,NA,NA,NA,0,6232,w,0,0,0,6235
DG2_F_3,DG2_F,DG2_F3_070920,1,DG2_F_6,0,No,No,No,n,Female,1.082,0,No,0.383333334,0.008333334,20,21.64,4,0,0,6232,w,0.2,0,0,6235
DG2_F_3,DG2_F,DG2_F3_070920,1,DG2_F_7,0,No,No,No,n,Male,3.596,0,No,0.441666667,0.066666667,20,71.92,11,4,0,6232,w,0.55,0.2,0,5952
DG2_F_3,DG2_F,DG2_F3_070920,1,DG2_F_8,0,No,No,No,n,Male,0,0.159829515,No,0.516666667,0,20,0,0,0,1,6232,w,0,0,0,5952
DG2_F_3,DG2_F,DG2_F3_070920,1,DG2_F_9,0,No,No,No,n,Female,0.078,0.159829515,No,0.3,0,20,1.56,1,1,1,6232,w,0.05,0.05,0,5952
DG2_F_6,DG2_F,DG2_F6_070920,2,DG2_F_2,0,No,No,No,n,Female,0.182,0,No,0.416666667,0.183333334,20,3.64,2,0,0,6235,w,0.1,0,0,6232
DG2_F_6,DG2_F,DG2_F6_070920,2,DG2_F_3,0,No,No,Yes,n,Female,0.374,0,No,0.55,0.041666667,20,7.48,2,0,0,6235,w,0.1,0,0,6232
DG2_F_6,DG2_F,DG2_F6_070920,2,DG2_F_4,0,Yes,No,No,n,Male,3.182,0,No,0.675,0.041666667,20,63.64,6,2,0,6235,w,0.3,0.1,0,6235
DG2_F_6,DG2_F,DG2_F6_070920,2,DG2_F_5,0,Yes,No,No,n,Male,0.194,0,No,0.433333334,0.016666667,20,3.88,1,1,0,6235,w,0.05,0.05,0,6235
DG2_F_6,DG2_F,DG2_F6_070920,2,DG2_F_7,0,No,No,No,n,Male,3.71,0,No,0.441666667,0.066666667,20,74.2,12,0,0,6235,w,0.6,0,0,5952
DG2_F_6,DG2_F,DG2_F6_070920,2,DG2_F_8,0,No,No,No,n,Male,3.522,0,No,0.516666667,0,20,70.44,6,3,0,6235,w,0.3,0.15,0,5952
DG2_F_6,DG2_F,DG2_F6_070920,2,DG2_F_9,0,No,No,No,n,Female,1.162,0,No,0.3,0,20,23.24,2,0,0,6235,w,0.1,0,0,5952
DG2_F_2,DG2_F,DG2_F2_080920,3,DG2_F_3,0,Yes,No,Yes,n,Female,0.574817123,0,No,0.55,0.041666667,11.5515,6.64,1,0,0,6232,w,0.086568844,0,0,6232
DG2_F_2,DG2_F,DG2_F2_080920,3,DG2_F_4,1,No,No,No,n,Male,2.46201792,0,No,0.675,0.041666667,11.5515,28.44,2,2,0,6232,w,0.173137688,0.173137688,0,6235
DG2_F_2,DG2_F,DG2_F2_080920,3,DG2_F_5,0,No,No,No,n,Male,0,0,No,0.433333334,0.016666667,11.5515,0,0,1,0,6232,w,0,0.086568844,0,6235
DG2_F_2,DG2_F,DG2_F2_080920,3,DG2_F_6,0,No,No,Yes,n,Female,7.410293036,0,No,0.383333334,0.008333334,11.5515,85.6,9,0,0,6232,w,0.779119595,0,0,6235
DG2_F_2,DG2_F,DG2_F2_080920,3,DG2_F_7,0,No,No,No,n,Male,3.000302991,0.169328893,No,0.441666667,0.066666667,11.5515,34.658,7,0,1,6232,w,0.605981907,0,0,5952
DG2_F_2,DG2_F,DG2_F2_080920,3,DG2_F_8,0,No,No,No,n,Male,31.97853093,0,No,0.516666667,0,11.5515,369.4,16,0,0,6232,w,1.385101502,0,0,5952
DG2_F_2,DG2_F,DG2_F2_080920,3,DG2_F_9,0,No,No,No,n,Female,4.21417132,0,No,0.3,0,11.5515,48.68,1,2,0,6232,w,0.086568844,0.173137688,0,5952
DG2_F_7,DG2_F,DG2_F7_080920,4,DG2_F_2,0,No,No,Yes,n,Female,0.586,0,No,0.416666667,0.183333334,20,11.72,3,3,0,5952,m,0.15,0.15,0,6232
DG2_F_7,DG2_F,DG2_F7_080920,4,DG2_F_3,0,No,No,Yes,n,Female,3.12,0,No,0.55,0.041666667,20,62.4,10,4,0,5952,m,0.5,0.2,0,6232
DG2_F_7,DG2_F,DG2_F7_080920,4,DG2_F_4,0,No,No,No,n,Male,1.036,0,No,0.675,0.041666667,20,20.72,4,2,0,5952,m,0.2,0.1,0,6235
DG2_F_7,DG2_F,DG2_F7_080920,4,DG2_F_5,0,No,No,No,n,Male,0,0,No,0.433333334,0.016666667,NA,NA,NA,NA,0,5952,m,0,0,0,6235
DG2_F_7,DG2_F,DG2_F7_080920,4,DG2_F_6,0,No,No,Yes,n,Female,3.31,0,No,0.383333334,0.008333334,20,66.2,6,0,0,5952,m,0.3,0,0,6235
DG2_F_7,DG2_F,DG2_F7_080920,4,DG2_F_8,0,Yes,No,No,n,Male,0.324,0,No,0.516666667,0,20,6.48,3,1,0,5952,m,0.15,0.05,0,5952
DG2_F_7,DG2_F,DG2_F7_080920,4,DG2_F_9,0,Yes,No,No,n,Female,2.546,0,No,0.3,0,20,50.92,11,1,0,5952,m,0.55,0.05,0,5952
DG2_F_9,DG2_F,DG2_F9_090920,5,DG2_F_2,1,No,No,Yes,n,Female,3.646537253,0,Yes,0.416666667,0.183333334,3.872166667,14.12,3,0,0,5952,w,0.77476004,0,0.024731458,6232
DG2_F_9,DG2_F,DG2_F9_090920,5,DG2_F_3,0,No,No,Yes,n,Female,3.181681229,0,No,0.55,0.041666667,3.872166667,12.32,2,1,0,5952,w,0.516506693,0.258253347,0,6232
DG2_F_9,DG2_F,DG2_F9_090920,5,DG2_F_4,0,No,No,No,n,Male,5.774544828,0,No,0.675,0.041666667,3.872166667,22.36,1,0,0,5952,w,0.258253347,0,0,6235
DG2_F_9,DG2_F,DG2_F9_090920,5,DG2_F_5,0,No,No,No,n,Male,0,0,No,0.433333334,0.016666667,NA,NA,NA,NA,0,5952,w,0,0,0,6235
DG2_F_9,DG2_F,DG2_F9_090920,5,DG2_F_6,0,No,No,Yes,n,Female,3.646537253,0,No,0.383333334,0.008333334,3.872166667,14.12,3,1,0,5952,w,0.77476004,0.258253347,0,6235
DG2_F_9,DG2_F,DG2_F9_090920,5,DG2_F_7,0,Yes,No,Yes,n,Male,3.925450867,0,No,0.441666667,0.066666667,3.872166667,15.2,6,0,0,5952,w,1.549520079,0,0,5952
DG2_F_9,DG2_F,DG2_F9_090920,5,DG2_F_8,0,Yes,No,No,n,Male,33.88283906,0.173120203,No,0.516666667,0,3.872166667,131.2,8,1,1,5952,w,2.066026772,0.258253347,0,5952
DG2_F_4,DG2_F,DG2_F4_090920,6,DG2_F_2,1,No,Yes,Yes,y,Female,3.307876542,0,No,0.416666667,0.183333334,3.688166667,12.2,4,1,0,6235,m,1.084549686,0.271137421,0,6232
DG2_F_4,DG2_F,DG2_F4_090920,6,DG2_F_3,0,No,No,Yes,y,Female,3.38379502,0,No,0.55,0.041666667,3.688166667,12.48,3,0,0,6235,m,0.813412264,0,0,6232
DG2_F_4,DG2_F,DG2_F4_090920,6,DG2_F_5,0,Yes,No,No,y,Male,0,0,No,0.433333334,0.016666667,NA,NA,NA,NA,0,6235,m,0,0,0,6235
DG2_F_4,DG2_F,DG2_F4_090920,6,DG2_F_6,0,Yes,No,Yes,y,Female,6.886890505,0,No,0.383333334,0.008333334,3.688166667,25.4,3,0,0,6235,m,0.813412264,0,0,6235
DG2_F_4,DG2_F,DG2_F4_090920,6,DG2_F_7,0,No,No,Yes,y,Male,0.672420805,0,No,0.441666667,0.066666667,3.688166667,2.48,1,0,0,6235,m,0.271137421,0,0,5952
DG2_F_4,DG2_F,DG2_F4_090920,6,DG2_F_8,0,No,No,No,y,Male,17.46124994,0,No,0.516666667,0,3.688166667,64.4,7,0,0,6235,m,1.89796195,0,0,5952
DG2_F_4,DG2_F,DG2_F4_090920,6,DG2_F_9,0,No,No,Yes,y,Female,3.58985946,0,No,0.3,0,3.688166667,13.24,2,0,0,6235,m,0.542274843,0,0,5952
DG2_F_5,DG2_F,DG2_F5_100920,7,DG2_F_2,1,No,No,Yes,n,Female,6.808277372,0,No,0.416666667,0.183333334,1.216166667,8.28,2,2,0,6235,m,1.644511443,1.644511443,0,6232
DG2_F_5,DG2_F,DG2_F5_100920,7,DG2_F_3,0,No,No,Yes,n,Female,6.380704397,0.656886359,No,0.55,0.041666667,1.216166667,7.76,2,0,1,6235,m,1.644511443,0,0,6232
DG2_F_5,DG2_F,DG2_F5_100920,7,DG2_F_4,0,Yes,No,Yes,n,Male,0,0,Yes,0.675,0.041666667,1.216166667,0,0,0,0,6235,m,0,0,0.023460227,6235
DG2_F_5,DG2_F,DG2_F5_100920,7,DG2_F_6,0,Yes,No,Yes,n,Female,31.3443881,0,No,0.383333334,0.008333334,1.216166667,38.12,1,2,0,6235,m,0.822255721,1.644511443,0,6235
DG2_F_5,DG2_F,DG2_F5_100920,7,DG2_F_7,0,No,No,Yes,n,Male,1.249828696,0,No,0.441666667,0.066666667,1.216166667,1.52,1,0,0,6235,m,0.822255721,0,0,5952
DG2_F_5,DG2_F,DG2_F5_100920,7,DG2_F_8,0,No,No,No,n,Male,12.56406742,0.328443179,No,0.516666667,0,1.216166667,15.28,3,1,1,6235,m,2.466767164,0.822255721,0,5952
DG2_F_5,DG2_F,DG2_F5_100920,7,DG2_F_9,0,No,No,Yes,n,Female,0,0,No,0.3,0,NA,NA,NA,NA,0,6235,m,0,0,0,5952
DG2_F_8,DG2_F,DG2_F8_100920,8,DG2_F_2,1,No,No,Yes,n,Female,6.579797771,0,No,0.416666667,0.183333334,1.598833333,10.52,2,2,0,5952,m,1.250912124,1.250912124,0,6232
DG2_F_8,DG2_F,DG2_F8_100920,8,DG2_F_3,0,No,No,Yes,n,Female,6.905034923,0,No,0.55,0.041666667,1.598833333,11.04,2,0,0,5952,m,1.250912124,0,0,6232
DG2_F_8,DG2_F,DG2_F8_100920,8,DG2_F_4,0,No,No,Yes,n,Male,2.927134369,0,No,0.675,0.041666667,1.598833333,4.68,1,0,0,5952,m,0.625456062,0,0,6235
DG2_F_8,DG2_F,DG2_F8_100920,8,DG2_F_5,0,No,No,Yes,n,Male,1.526112791,0,No,0.433333334,0.016666667,1.598833333,2.44,2,0,0,5952,m,1.250912124,0,0,6235
DG2_F_8,DG2_F,DG2_F8_100920,8,DG2_F_6,0,No,No,Yes,n,Female,0,0,No,0.383333334,0.008333334,NA,NA,NA,NA,0,5952,m,0,0,0,6235
DG2_F_8,DG2_F,DG2_F8_100920,8,DG2_F_7,0,Yes,No,Yes,n,Male,4.928593767,0,No,0.441666667,0.066666667,1.598833333,7.88,3,0,0,5952,m,1.876368186,0,0,5952
