unique.group,familiarization.day,group.test.order,pig.unique.id,location.box,number.times.opens,rate.open.per.min,dur.trial.min
DG2_F,1,2nd,DG2_F_2,Front,2,0.0390439,51.224333333333334
DG2_F,1,2nd,DG2_F_2,Side,5,0.0790311,51.396
DG2_F,1,2nd,DG2_F_3,Front,1,0.019522,51.224333333333334
DG2_F,1,2nd,DG2_F_3,Side,4,0.118547,51.396
DG2_F,1,2nd,DG2_F_4,Front,1,0.019522,51.224333333333334
DG2_F,1,2nd,DG2_F_4,Side,1,0.0395155,51.396
DG2_F,1,2nd,DG2_F_5,Front,1,0.019522,51.224333333333334
DG2_F,1,2nd,DG2_F_5,Side,1,0.0383296,51.396
DG2_F,1,2nd,DG2_F_6,Front,1,0.019522,51.224333333333334
DG2_F,1,2nd,DG2_F_7,Side,4,0.153318,51.396
DG2_F,2,1st,DG2_F_2,Front,9,0.152952,58.842
DG2_F,2,1st,DG2_F_2,Side,6,0.101042,59.38133333333334
DG2_F,2,1st,DG2_F_4,Front,2,0.0339893,58.842
DG2_F,2,1st,DG2_F_4,Side,1,0.0168403,59.38133333333334
DG2_F,2,1st,DG2_F_7,Front,1,0.0169947,58.842
DG2_F,2,1st,DG2_F_7,Side,3,0.0505209,59.38133333333334
DG2_F,3,2nd,DG2_F_2,Front,6,0.100244,59.854
DG2_F,3,2nd,DG2_F_2,Side,3,0.05012196344438133,59.854
DG2_F,3,2nd,DG2_F_3,Front,1,0.0167073,59.854
DG2_F,3,2nd,DG2_F_3,Side,1,0.01670732114812711,59.854
DG2_F,3,2nd,DG2_F_4,Side,1,0.01670732114812711,59.854
DG2_F,3,2nd,DG2_F_6,Front,1,0.0167073,59.854
DG2_F,3,2nd,DG2_F_6,Side,1,0.01670732114812711,59.854
DG2_F,3,2nd,DG2_F_7,Front,1,0.0167073,59.854
DG2_F,3,2nd,DG2_F_7,Side,2,0.03341464229625422,59.854
DG2_F,3,2nd,DG2_F_8,Side,1,0.01670732114812711,59.854
DG2_F,4,1st,DG2_F_2,Front,2,0.033106,60.412
DG2_F,4,1st,DG2_F_2,Side,3,0.04965900814407734,60.412
DG2_F,4,1st,DG2_F_4,Front,2,0.033106,60.412
DG2_F,4,1st,DG2_F_4,Side,2,0.03310600542938489,60.412
DG2_F,4,1st,DG2_F_5,Front,1,0.016553,60.412
DG2_F,4,1st,DG2_F_6,Front,1,0.016553,60.412
DG2_F,5,2nd,DG2_F_2,Front,5,0.083051,60.20399999999999
DG2_F,5,2nd,DG2_F_2,Side,6,0.09966115208291809,60.20399999999999
DG2_F,5,2nd,DG2_F_4,Front,1,0.0166102,60.20399999999999
DG2_F,5,2nd,DG2_F_5,Front,1,0.0166102,60.20399999999999
DG2_F,5,2nd,DG2_F_7,Side,7,0.11627134409673777,60.20399999999999
DG2_W,1,1st,DG2_W_1,Front,1,0.0163479,61.169999999999995
DG2_W,1,1st,DG2_W_1,Side,1,0.0177169,56.443333333333335
DG2_W,1,1st,DG2_W_2,Front,2,0.0326958,61.169999999999995
DG2_W,1,1st,DG2_W_2,Side,1,0.0177169,56.443333333333335
DG2_W,1,1st,DG2_W_2,Side,1,0.0177169,56.443333333333335
DG2_W,1,1st,DG2_W_3,Front,1,0.0163479,61.169999999999995
DG2_W,1,1st,DG2_W_3,Side,1,0.0177169,56.443333333333335
DG2_W,1,1st,DG2_W_4,Front,6,0.0980874,61.169999999999995
DG2_W,1,1st,DG2_W_4,Front,1,0.0163479,61.169999999999995
DG2_W,1,1st,DG2_W_4,Side,3,0.0531507,56.443333333333335
DG2_W,1,1st,DG2_W_5,Front,1,0.0163479,61.169999999999995
DG2_W,1,1st,DG2_W_5,Front,3,0.0490437,61.169999999999995
DG2_W,1,1st,DG2_W_5,Side,5,0.0885844,56.443333333333335
DG2_W,1,1st,DG2_W_6,Side,1,0.0177169,56.443333333333335
DG2_W,1,1st,DG2_W_8,Front,1,0.0163479,61.169999999999995
DG2_W,1,1st,DG2_W_9,Front,1,0.0163479,61.169999999999995
DG2_W,1,1st,DG2_W_9,Front,1,0.0163479,61.169999999999995
DG2_W,1,1st,DG2_W_9,Front,2,0.0326958,61.169999999999995
DG2_W,1,1st,DG2_W_9,Side,1,0.0177169,56.443333333333335
DG2_W,2,2nd,DG2_W_1,Front,2,0.033245,60.15933333333333
DG2_W,2,2nd,DG2_W_2,Front,2,0.033245,60.15933333333333
DG2_W,2,2nd,DG2_W_2,Side,5,0.0879147,56.873333333333335
DG2_W,2,2nd,DG2_W_3,Front,2,0.033245,60.15933333333333
