trapped.pig.uniq.id,sow,sex,group.trapped.pig.order,location.test.box,interval_count,interval.dur,number.of.intervals,next.min.status,invest.window.num,distress.num,distress.binom,screams.binom,escape.binom,invest.door.binom,invest.window.binom,screams.num,escapes.num,invest.door.num,outcome1,outcome2,lat.helped.min,trapped.date,uniq.group,time.trial.begins,interval_time,invest.window.sq.z,time.trial.begins.z,group.trapped.pig.order.z,tstop,tstart
DG2_F_2,6232,Female,3,Front,1,60,12,trapped,4,0,0,0,0,0,1,0,0,0,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,56.92-116.92,1.047543994,0.425711175,-0.572082278,1,0
DG2_F_2,6232,Female,3,Front,2,60,12,trapped,5,0,0,0,0,1,1,0,0,2,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,116.92-176.92,1.299862154,0.425711175,-0.572082278,2,1
DG2_F_2,6232,Female,3,Front,3,60,12,trapped,0,0,0,0,0,0,0,0,0,0,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,176.92-236.92,-1.090129755,0.425711175,-0.572082278,3,2
DG2_F_2,6232,Female,3,Front,4,60,12,trapped,0,0,0,0,0,0,0,0,0,0,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,236.92-296.92,-1.090129755,0.425711175,-0.572082278,4,3
DG2_F_2,6232,Female,3,Front,5,60,12,trapped,1,0,0,0,0,1,1,0,0,1,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,296.92-356.92,-0.021292881,0.425711175,-0.572082278,5,4
DG2_F_2,6232,Female,3,Front,6,60,12,trapped,1,0,0,0,0,0,1,0,0,0,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,356.92-416.92,-0.021292881,0.425711175,-0.572082278,6,5
DG2_F_2,6232,Female,3,Front,7,60,12,trapped,0,0,0,0,0,0,0,0,0,0,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,416.92-476.92,-1.090129755,0.425711175,-0.572082278,7,6
DG2_F_2,6232,Female,3,Front,8,60,12,trapped,0,0,0,0,0,0,0,0,0,0,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,476.92-536.92,-1.090129755,0.425711175,-0.572082278,8,7
DG2_F_2,6232,Female,3,Front,9,60,12,trapped,0,0,0,0,0,0,0,0,0,0,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,536.92-596.92,-1.090129755,0.425711175,-0.572082278,9,8
DG2_F_2,6232,Female,3,Front,10,60,12,trapped,0,0,0,0,0,0,0,0,0,0,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,596.92-656.92,-1.090129755,0.425711175,-0.572082278,10,9
DG2_F_2,6232,Female,3,Front,11,60,12,free,0,0,0,0,0,0,0,0,0,0,Helped,Full_trial,11.55,08.09.20,Batch1_A,12.47,656.92-716.92,-1.090129755,0.425711175,-0.572082278,11,10
DG2_F_3,6232,Female,1,Side,1,60,20,trapped,6,5,1,1,1,1,1,2,3,2,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,95.2-155.2,1.527975206,-0.996796891,-1.287185126,1,0
DG2_F_3,6232,Female,1,Side,2,60,20,trapped,3,2,1,1,0,1,1,2,0,1,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,155.2-215.2,0.761150017,-0.996796891,-1.287185126,2,1
DG2_F_3,6232,Female,1,Side,3,60,20,trapped,4,1,1,0,1,1,1,0,1,1,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,215.2-275.2,1.047543994,-0.996796891,-1.287185126,3,2
DG2_F_3,6232,Female,1,Side,4,60,20,trapped,3,1,1,1,0,1,1,1,0,1,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,275.2-335.2,0.761150017,-0.996796891,-1.287185126,4,3
DG2_F_3,6232,Female,1,Side,5,60,20,trapped,1,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,335.2-395.2,-0.021292881,-0.996796891,-1.287185126,5,4
DG2_F_3,6232,Female,1,Side,6,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,395.2-455.2,-1.090129755,-0.996796891,-1.287185126,6,5
DG2_F_3,6232,Female,1,Side,7,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,455.2-515.2,-1.090129755,-0.996796891,-1.287185126,7,6
DG2_F_3,6232,Female,1,Side,8,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,515.2-575.2,-1.090129755,-0.996796891,-1.287185126,8,7
DG2_F_3,6232,Female,1,Side,9,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,575.2-635.2,-1.090129755,-0.996796891,-1.287185126,9,8
DG2_F_3,6232,Female,1,Side,10,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,635.2-695.2,-1.090129755,-0.996796891,-1.287185126,10,9
DG2_F_3,6232,Female,1,Side,11,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,695.2-755.2,-1.090129755,-0.996796891,-1.287185126,11,10
DG2_F_3,6232,Female,1,Side,12,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,755.2-815.2,-1.090129755,-0.996796891,-1.287185126,12,11
DG2_F_3,6232,Female,1,Side,13,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,815.2-875.2,-1.090129755,-0.996796891,-1.287185126,13,12
DG2_F_3,6232,Female,1,Side,14,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,875.2-935.2,-1.090129755,-0.996796891,-1.287185126,14,13
DG2_F_3,6232,Female,1,Side,15,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,935.2-995.2,-1.090129755,-0.996796891,-1.287185126,15,14
DG2_F_3,6232,Female,1,Side,16,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,995.2-1055.2,-1.090129755,-0.996796891,-1.287185126,16,15
DG2_F_3,6232,Female,1,Side,17,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,1055.2-1115.2,-1.090129755,-0.996796891,-1.287185126,17,16
DG2_F_3,6232,Female,1,Side,18,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,1115.2-1175.2,-1.090129755,-0.996796891,-1.287185126,18,17
DG2_F_3,6232,Female,1,Side,19,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,10.16666667,1175.2-1235.2,-1.090129755,-0.996796891,-1.287185126,19,18
DG2_F_4,6235,Male,6,Side,1,60,4,trapped,4,7,1,1,1,1,1,4,3,2,Helped,Full_trial,3.688166667,09.09.20,Batch1_A,10.43333333,80.96-140.96,1.047543994,-0.832107104,0.500571993,1,0
DG2_F_4,6235,Male,6,Side,2,60,4,trapped,2,4,1,1,1,0,1,3,1,0,Helped,Full_trial,3.688166667,09.09.20,Batch1_A,10.43333333,140.96-200.96,0.421433849,-0.832107104,0.500571993,2,1
DG2_F_4,6235,Male,6,Side,3,60,4,free,2,3,1,1,0,1,1,3,0,2,Helped,Full_trial,3.688166667,09.09.20,Batch1_A,10.43333333,200.96-260.96,0.421433849,-0.832107104,0.500571993,3,2
DG2_F_5,6235,Male,7,Side,1,60,2,free,5,1,1,0,1,1,1,0,1,1,Helped,Full_trial,1.216166667,10.09.20,Batch1_A,11.66666667,40.84-100.84,1.299862154,-0.070416818,0.858123417,1,0
DG2_F_6,6235,Female,2,Front,1,60,20,trapped,4,1,1,0,1,1,1,0,1,2,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,104.64-164.64,1.047543994,-0.173347939,-0.929633702,1,0
DG2_F_6,6235,Female,2,Front,2,60,20,trapped,5,2,1,0,1,1,1,0,2,1,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,164.64-224.64,1.299862154,-0.173347939,-0.929633702,2,1
DG2_F_6,6235,Female,2,Front,3,60,20,trapped,3,3,1,0,1,0,1,0,3,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,224.64-284.64,0.761150017,-0.173347939,-0.929633702,3,2
DG2_F_6,6235,Female,2,Front,4,60,20,trapped,2,0,0,0,0,1,1,0,0,1,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,284.64-344.64,0.421433849,-0.173347939,-0.929633702,4,3
DG2_F_6,6235,Female,2,Front,5,60,20,trapped,3,1,1,1,0,0,1,1,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,344.64-404.64,0.761150017,-0.173347939,-0.929633702,5,4
DG2_F_6,6235,Female,2,Front,6,60,20,trapped,0,0,0,0,0,1,0,0,0,1,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,404.64-464.64,-1.090129755,-0.173347939,-0.929633702,6,5
DG2_F_6,6235,Female,2,Front,7,60,20,trapped,1,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,464.64-524.64,-0.021292881,-0.173347939,-0.929633702,7,6
DG2_F_6,6235,Female,2,Front,8,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,524.64-584.64,-1.090129755,-0.173347939,-0.929633702,8,7
DG2_F_6,6235,Female,2,Front,9,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,584.64-644.64,-1.090129755,-0.173347939,-0.929633702,9,8
DG2_F_6,6235,Female,2,Front,10,60,20,trapped,1,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,644.64-704.64,-0.021292881,-0.173347939,-0.929633702,10,9
DG2_F_6,6235,Female,2,Front,11,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,704.64-764.64,-1.090129755,-0.173347939,-0.929633702,11,10
DG2_F_6,6235,Female,2,Front,12,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,764.64-824.64,-1.090129755,-0.173347939,-0.929633702,12,11
DG2_F_6,6235,Female,2,Front,13,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,824.64-884.64,-1.090129755,-0.173347939,-0.929633702,13,12
DG2_F_6,6235,Female,2,Front,14,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,884.64-944.64,-1.090129755,-0.173347939,-0.929633702,14,13
DG2_F_6,6235,Female,2,Front,15,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,944.64-1004.64,-1.090129755,-0.173347939,-0.929633702,15,14
DG2_F_6,6235,Female,2,Front,16,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,1004.64-1064.64,-1.090129755,-0.173347939,-0.929633702,16,15
DG2_F_6,6235,Female,2,Front,17,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,1064.64-1124.64,-1.090129755,-0.173347939,-0.929633702,17,16
DG2_F_6,6235,Female,2,Front,18,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,1124.64-1184.64,-1.090129755,-0.173347939,-0.929633702,18,17
DG2_F_6,6235,Female,2,Front,19,60,20,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,07.09.20,Batch1_A,11.5,1184.64-1244.64,-1.090129755,-0.173347939,-0.929633702,19,18
DG2_F_7,5952,Male,4,Side,1,60,21,trapped,5,1,1,0,1,1,1,0,1,3,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,50.48-110.48,1.299862154,1.175049721,-0.214530854,1,0
DG2_F_7,5952,Male,4,Side,2,60,21,trapped,1,0,0,0,0,1,1,0,0,1,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,110.48-170.48,-0.021292881,1.175049721,-0.214530854,2,1
DG2_F_7,5952,Male,4,Side,3,60,21,trapped,6,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,170.48-230.48,1.527975206,1.175049721,-0.214530854,3,2
DG2_F_7,5952,Male,4,Side,4,60,21,trapped,2,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,230.48-290.48,0.421433849,1.175049721,-0.214530854,4,3
DG2_F_7,5952,Male,4,Side,5,60,21,trapped,1,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,290.48-350.48,-0.021292881,1.175049721,-0.214530854,5,4
DG2_F_7,5952,Male,4,Side,6,60,21,trapped,3,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,350.48-410.48,0.761150017,1.175049721,-0.214530854,6,5
DG2_F_7,5952,Male,4,Side,7,60,21,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,410.48-470.48,-1.090129755,1.175049721,-0.214530854,7,6
DG2_F_7,5952,Male,4,Side,8,60,21,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,470.48-530.48,-1.090129755,1.175049721,-0.214530854,8,7
DG2_F_7,5952,Male,4,Side,9,60,21,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,530.48-590.48,-1.090129755,1.175049721,-0.214530854,9,8
DG2_F_7,5952,Male,4,Side,10,60,21,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,590.48-650.48,-1.090129755,1.175049721,-0.214530854,10,9
DG2_F_7,5952,Male,4,Side,11,60,21,trapped,7,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,650.48-710.48,1.737746807,1.175049721,-0.214530854,11,10
DG2_F_7,5952,Male,4,Side,12,60,21,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,710.48-770.48,-1.090129755,1.175049721,-0.214530854,12,11
DG2_F_7,5952,Male,4,Side,13,60,21,trapped,1,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,770.48-830.48,-0.021292881,1.175049721,-0.214530854,13,12
DG2_F_7,5952,Male,4,Side,14,60,21,trapped,1,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,830.48-890.48,-0.021292881,1.175049721,-0.214530854,14,13
DG2_F_7,5952,Male,4,Side,15,60,21,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,890.48-950.48,-1.090129755,1.175049721,-0.214530854,15,14
DG2_F_7,5952,Male,4,Side,16,60,21,trapped,1,0,0,0,0,0,1,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,950.48-1010.48,-0.021292881,1.175049721,-0.214530854,16,15
DG2_F_7,5952,Male,4,Side,17,60,21,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,1010.48-1070.48,-1.090129755,1.175049721,-0.214530854,17,16
DG2_F_7,5952,Male,4,Side,18,60,21,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,1070.48-1130.48,-1.090129755,1.175049721,-0.214530854,18,17
DG2_F_7,5952,Male,4,Side,19,60,21,trapped,0,0,0,0,0,0,0,0,0,0,Not helped,Full_trial,20,08.09.20,Batch1_A,13.68333333,1130.48-1190.48,-1.090129755,1.175049721,-0.214530854,19,18
DG2_F_8,5952,Male,8,Front,1,60,2,free,3,1,1,0,1,1,1,0,1,3,Helped,Full_trial,1.598833333,10.09.20,Batch1_A,12.8,93.4-153.4,0.761150017,0.629514791,1.215674841,1,0
DG2_F_9,5952,Female,5,Front,1,60,4,trapped,4,0,0,0,0,1,1,0,0,1,Helped,Full_trial,3.872166667,09.09.20,Batch1_A,9.483333333,87.2-147.2,1.047543994,-1.418814482,0.14302057,1,0
DG2_F_9,5952,Female,5,Front,2,60,4,trapped,5,0,0,0,0,1,1,0,0,1,Helped,Full_trial,3.872166667,09.09.20,Batch1_A,9.483333333,147.2-207.2,1.299862154,-1.418814482,0.14302057,2,1
DG2_F_9,5952,Female,5,Front,3,60,4,free,3,4,1,1,1,1,1,2,2,1,Helped,Full_trial,3.872166667,09.09.20,Batch1_A,9.483333333,207.2-267.2,0.761150017,-1.418814482,0.14302057,3,2
DG2_W_1,6142,Male,1,Side,1,60,5,trapped,4,0,0,0,0,0,1,0,0,0,Helped,Full_trial,5.1755,07.09.20,Batch1_B,14.75,343.68-403.68,1.047543994,1.833808886,-1.287185126,1,0
DG2_W_1,6142,Male,1,Side,2,60,5,trapped,0,0,0,0,0,1,0,0,0,1,Helped,Full_trial,5.1755,07.09.20,Batch1_B,14.75,403.68-463.68,-1.090129755,1.833808886,-1.287185126,2,1
DG2_W_1,6142,Male,1,Side,3,60,5,trapped,2,0,0,0,0,1,1,0,0,1,Helped,Full_trial,5.1755,07.09.20,Batch1_B,14.75,463.68-523.68,0.421433849,1.833808886,-1.287185126,3,2
DG2_W_1,6142,Male,1,Side,4,60,5,trapped,0,0,0,0,0,1,0,0,0,1,Helped,Full_trial,5.1755,07.09.20,Batch1_B,14.75,523.68-583.68,-1.090129755,1.833808886,-1.287185126,4,3
DG2_W_5,5931,Male,4,Front,1,60,2,free,7,1,1,0,1,1,1,0,1,2,Helped,Full_trial,1.356833333,08.09.20,Batch1_B,10.51666667,46.08-106.08,1.737746807,-0.780641541,-0.214530854,1,0
DG3_F_2,6271,Male,6,Side,1,60,20,trapped,1,1,1,1,0,0,1,1,0,0,Not helped,Full_trial,20,21.10.20,Batch2_A,11.5,99.8-159.8,-0.021292881,-0.173347939,0.500571993,1,0
